user_id,rank,movie_id,title
USER_00756,1,MOV_0000,The Silver Shadow 1
USER_00756,2,MOV_0001,Modern Dream
USER_00756,3,MOV_0002,A Ancient Storm
USER_00756,4,MOV_0013,The Forbidden Dream
USER_00756,5,MOV_1026,The Final Dragon
USER_03111,1,MOV_0000,The Silver Shadow 1
USER_03111,2,MOV_0001,Modern Dream
USER_03111,3,MOV_0002,A Ancient Storm
USER_03111,4,MOV_1336,Final Storm
USER_03111,5,MOV_1105,A Lost Quest
USER_03765,1,MOV_0000,The Silver Shadow 1
USER_03765,2,MOV_0001,Modern Dream
USER_03765,3,MOV_0002,A Ancient Storm
USER_03765,4,MOV_1297,The Secret Chronicles
USER_03765,5,MOV_0054,The Hidden Kingdom
USER_01869,1,MOV_0000,The Silver Shadow 1
USER_01869,2,MOV_0001,Modern Dream
USER_01869,3,MOV_0007,A Incredible Adventure
USER_01869,4,MOV_0002,A Ancient Storm
USER_01869,5,MOV_0561,The Hidden Legacy
USER_02281,1,MOV_0000,The Silver Shadow 1
USER_02281,2,MOV_0001,Modern Dream
USER_02281,3,MOV_0002,A Ancient Storm
USER_02281,4,MOV_0040,Bright Dragon 5
USER_02281,5,MOV_1427,A Final Legacy
USER_01666,1,MOV_0000,The Silver Shadow 1
USER_01666,2,MOV_0001,Modern Dream
USER_01666,3,MOV_0002,A Ancient Storm
USER_01666,4,MOV_1036,Modern Story
USER_01666,5,MOV_1810,The Golden Destiny 182
USER_00895,1,MOV_0000,The Silver Shadow 1
USER_00895,2,MOV_0001,Modern Dream
USER_00895,3,MOV_0002,A Ancient Storm
USER_00895,4,MOV_1816,The Modern Legacy
USER_00895,5,MOV_1265,First Kingdom
USER_03529,1,MOV_0000,The Silver Shadow 1
USER_03529,2,MOV_0001,Modern Dream
USER_03529,3,MOV_0002,A Ancient Storm
USER_03529,4,MOV_1079,The Eternal Light
USER_03529,5,MOV_1516,The First Light
USER_03535,1,MOV_0000,The Silver Shadow 1
USER_03535,2,MOV_0001,Modern Dream
USER_03535,3,MOV_0002,A Ancient Storm
USER_03535,4,MOV_1097,The Ancient Empire
USER_03535,5,MOV_0826,Lost Quest
USER_01267,1,MOV_0000,The Silver Shadow 1
USER_01267,2,MOV_0001,Modern Dream
USER_01267,3,MOV_0007,A Incredible Adventure
USER_01267,4,MOV_0002,A Ancient Storm
USER_01267,5,MOV_1175,A Last Kingdom
USER_02099,1,MOV_0000,The Silver Shadow 1
USER_02099,2,MOV_0001,Modern Dream
USER_02099,3,MOV_0002,A Ancient Storm
USER_02099,4,MOV_1108,Bright Legacy
USER_02099,5,MOV_1516,The First Light
USER_02014,1,MOV_0000,The Silver Shadow 1
USER_02014,2,MOV_0001,Modern Dream
USER_02014,3,MOV_0002,A Ancient Storm
USER_02014,4,MOV_0978,Silver Kingdom
USER_02014,5,MOV_0187,The Amazing Legend
USER_02331,1,MOV_0000,The Silver Shadow 1
USER_02331,2,MOV_0001,Modern Dream
USER_02331,3,MOV_0002,A Ancient Storm
USER_02331,4,MOV_0013,The Forbidden Dream
USER_02331,5,MOV_1277,First Chronicles
USER_00546,1,MOV_0000,The Silver Shadow 1
USER_00546,2,MOV_0001,Modern Dream
USER_00546,3,MOV_0002,A Ancient Storm
USER_00546,4,MOV_1614,Modern Light
USER_00546,5,MOV_0357,The Mystic Legacy
USER_04497,1,MOV_0000,The Silver Shadow 1
USER_04497,2,MOV_0001,Modern Dream
USER_04497,3,MOV_0002,A Ancient Storm
USER_04497,4,MOV_0253,A Bright Mystery
USER_04497,5,MOV_0847,The Incredible Dream
USER_00943,1,MOV_0000,The Silver Shadow 1
USER_00943,2,MOV_0001,Modern Dream
USER_00943,3,MOV_0002,A Ancient Storm
USER_00943,4,MOV_0512,A Eternal Chronicles
USER_00943,5,MOV_0961,The Golden Legend
USER_01848,1,MOV_0000,The Silver Shadow 1
USER_01848,2,MOV_0001,Modern Dream
USER_01848,3,MOV_0002,A Ancient Storm
USER_01848,4,MOV_1650,A Golden Chronicles 166
USER_01848,5,MOV_0022,The Lost Story
USER_04791,1,MOV_0000,The Silver Shadow 1
USER_04791,2,MOV_0001,Modern Dream
USER_04791,3,MOV_0007,A Incredible Adventure
USER_04791,4,MOV_0002,A Ancient Storm
USER_04791,5,MOV_0808,A Modern Legacy
USER_03876,1,MOV_0000,The Silver Shadow 1
USER_03876,2,MOV_0001,Modern Dream
USER_03876,3,MOV_0002,A Ancient Storm
USER_03876,4,MOV_0335,A Ancient Legacy
USER_03876,5,MOV_1026,The Final Dragon
USER_00665,1,MOV_0000,The Silver Shadow 1
USER_00665,2,MOV_0001,Modern Dream
USER_00665,3,MOV_0002,A Ancient Storm
USER_00665,4,MOV_1334,A Silver Quest
USER_00665,5,MOV_1970,A Modern Quest 198
